integrand,action
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\frac{x}{x+1}dx,0
\int_{0}^{1}{x^2}^{2}dx,0
\int_{0}^{1}{x^2}^{4}*\sqrt[3]{2*x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}dx,0
\int_{0}^{1}\tan{x^2}dx,0
\int_{0}^{1}{2*x}^{2}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\sqrt[3]{x+1}dx,0
\int_{0}^{1}\frac{x}{x}dx,0
\int_{0}^{1}\sqrt[2]{2*x}*\cos{x}dx,0
\int_{0}^{1}{x+1}^{2}*\sqrt[3]{x+1}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\frac{2*x}{2*x}dx,0
\int_{0}^{1}x+x+1*2*x+2*x+\tan{x}*\frac{x^2}{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x}dx,0
\int_{0}^{1}\tan{x}*\frac{x^2}{x}dx,0
\int_{0}^{1}\tan{x+1}dx,0
\int_{0}^{1}{2*x}^{4}dx,0
\int_{0}^{1}\sqrt[3]{x^2}dx,0
\int_{0}^{1}\sqrt[3]{x}+\sin{x}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}{x^2}^{3}dx,0
\int_{0}^{1}\sin{x}+\frac{x}{2*x}*\sqrt[2]{x+1}dx,0
\int_{0}^{1}\frac{x+1}{x}+\frac{x}{x}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}x^2+2*x*{2*x}^{3}+\tan{2*x}dx,0
\int_{0}^{1}\sqrt[2]{x+1}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\sin{x}dx,0
\int_{0}^{1}\frac{2*x}{x+1}dx,0
\int_{0}^{1}\tan{x+1}+\sqrt[3]{x}dx,0
\int_{0}^{1}\tan{x+1}+\frac{x+1}{x^2}dx,0
\int_{0}^{1}\frac{x}{x+1}dx,0
\int_{0}^{1}\sin{x+1}dx,0
\int_{0}^{1}\sqrt[3]{2*x}dx,0
\int_{0}^{1}\frac{2*x}{x}dx,0
\int_{0}^{1}{x^2}^{4}dx,0
\int_{0}^{1}{x+1}^{3}dx,0
\int_{0}^{1}\frac{x^2}{x}dx,0
\int_{0}^{1}\sqrt[2]{x^2}*\frac{x^2}{2*x}dx,0
\int_{0}^{1}\cos{x+1}+\frac{x+1}{x^2}*{2*x}^{4}*2*x+2*xdx,0
\int_{0}^{1}{x+1}^{4}dx,0
\int_{0}^{1}\cos{x^2}+\frac{x^2}{x+1}dx,0
\int_{0}^{1}\sin{x}dx,0
 ,0
